recharge_id,user_id,recharge_date,city,recharge_type,plan_type,payment_mode,recharge_amount
JIOREC000060,USER77889,2023-05-02,Lucknow,Prepaid,Quarterly,Debit Card,700
JIOREC000061,USER80768,2023-05-21,Pune,Prepaid,Quarterly,UPI,752
JIOREC000062,USER89250,2022-11-02,Mumbai,Prepaid,Annual,Retail Store,2900
JIOREC000063,USER82811,2022-08-09,Pune,Postpaid,Quarterly,UPI,670
JIOREC000064,USER90765,2022-02-05,Kolkata,Postpaid,Data Add-on,Wallet,18
JIOREC000065,USER64828,2022-12-22,Ahmedabad,Postpaid,Monthly,Net Banking,479
JIOREC000066,USER74329,2022-08-24,Kolkata,Postpaid,Monthly,UPI,198
JIOREC000067,USER64697,2023-01-11,Lucknow,Prepaid,Annual,Wallet,3151
JIOREC000068,USER91871,2024-06-26,Pune,Postpaid,Monthly,Credit Card,219
JIOREC000069,USER44970,2022-03-07,Bangalore,Prepaid,Quarterly,UPI,718
JIOREC000070,USER35880,2022-10-31,Mumbai,Prepaid,Roaming Pack,Wallet,803
JIOREC000071,USER42912,2023-07-01,Chennai,Postpaid,Data Add-on,Net Banking,30
JIOREC000072,USER15024,2023-11-21,Jaipur,Postpaid,Annual,Net Banking,3140
JIOREC000073,USER10980,2022-04-22,Mumbai,Postpaid,Monthly,Wallet,478
JIOREC000074,USER78712,2024-06-04,Jaipur,Prepaid,Monthly,Credit Card,527
JIOREC000075,USER60259,2024-02-21,Ahmedabad,Prepaid,Monthly,UPI,329
JIOREC000076,USER93338,2024-06-27,Hyderabad,Postpaid,Monthly,Credit Card,218
JIOREC000077,USER50788,2022-02-23,Jaipur,Postpaid,Data Add-on,Credit Card,121
JIOREC000078,USER53596,2024-01-07,Delhi,Postpaid,Data Add-on,Debit Card,67
JIOREC000079,USER59465,2023-01-22,Bangalore,Postpaid,Monthly,Credit Card,208
JIOREC000080,USER98625,2023-08-14,Chennai,Prepaid,Roaming Pack,Retail Store,521
JIOREC000081,USER65435,2023-03-14,Hyderabad,Postpaid,Roaming Pack,Debit Card,837
JIOREC000082,USER59245,2023-07-06,Ahmedabad,Postpaid,Quarterly,Net Banking,695
JIOREC000083,USER41650,2024-04-12,Jaipur,Prepaid,Monthly,UPI,218
JIOREC000084,USER77961,2024-03-09,Bangalore,Postpaid,Roaming Pack,Credit Card,880
JIOREC000085,USER81744,2024-02-03,Ahmedabad,Prepaid,Quarterly,Wallet,934
JIOREC000086,USER93011,2024-01-12,Bangalore,Prepaid,Monthly,Wallet,263
JIOREC000087,USER47373,2023-09-24,Ahmedabad,Postpaid,Data Add-on,UPI,63
JIOREC000088,USER68944,2023-09-13,Bangalore,Prepaid,Data Add-on,Credit Card,127
JIOREC000089,USER63482,2022-12-18,Pune,Postpaid,Annual,Credit Card,2879
JIOREC000090,USER59344,2022-02-06,Jaipur,Postpaid,Quarterly,Debit Card,718
JIOREC000091,USER96443,2022-04-21,Jaipur,Prepaid,Annual,Credit Card,3005
JIOREC000092,USER54590,2023-11-11,Jaipur,Prepaid,Monthly,Credit Card,313
JIOREC000093,USER91368,2024-05-29,Mumbai,Postpaid,Data Add-on,Credit Card,66
JIOREC000094,USER43574,2022-12-05,Hyderabad,Prepaid,Quarterly,UPI,849
JIOREC000095,USER91453,2024-06-19,Chennai,Postpaid,Quarterly,Net Banking,792
JIOREC000096,USER79174,2022-12-16,Bangalore,Postpaid,Monthly,Wallet,239
JIOREC000097,USER84005,2022-08-21,Lucknow,Postpaid,Roaming Pack,Credit Card,500
JIOREC000098,USER42659,2022-02-11,Pune,Postpaid,Quarterly,Wallet,719
JIOREC000099,USER32319,2024-06-13,Chennai,Postpaid,Monthly,Debit Card,438
JIOREC000100,USER80713,2022-03-18,Kolkata,Prepaid,Quarterly,Credit Card,850
JIOREC000101,USER85958,2023-11-16,Chennai,Postpaid,Roaming Pack,Net Banking,633
JIOREC000102,USER43497,2023-07-21,Pune,Prepaid,Data Add-on,UPI,64
JIOREC000103,USER39489,2022-10-25,Kolkata,Postpaid,Roaming Pack,UPI,501
JIOREC000104,USER91041,2022-08-01,Kolkata,Postpaid,Annual,Net Banking,2532
JIOREC000105,USER33995,2024-06-22,Kolkata,Postpaid,Annual,Net Banking,2794
JIOREC000106,USER14963,2024-02-23,Kolkata,Prepaid,Quarterly,UPI,933
JIOREC000107,USER20150,2023-01-26,Mumbai,Prepaid,Monthly,Credit Card,418
JIOREC000108,USER38878,2024-05-23,Hyderabad,Prepaid,Monthly,UPI,263
JIOREC000109,USER97098,2022-08-17,Lucknow,Prepaid,Roaming Pack,Retail Store,597
JIOREC000110,USER59008,2022-05-02,Delhi,Postpaid,Data Add-on,UPI,29
JIOREC000111,USER95627,2022-03-30,Lucknow,Postpaid,Roaming Pack,UPI,800
JIOREC000112,USER38695,2022-03-02,Pune,Postpaid,Data Add-on,UPI,61
JIOREC000113,USER17781,2022-03-19,Kolkata,Postpaid,Roaming Pack,Debit Card,499
JIOREC000114,USER73614,2022-10-18,Pune,Postpaid,Roaming Pack,UPI,499
JIOREC000115,USER94195,2024-06-19,Pune,Prepaid,Roaming Pack,Credit Card,547
JIOREC000116,USER15440,2022-01-31,Jaipur,Postpaid,Roaming Pack,Retail Store,599
JIOREC000117,USER54997,2023-08-30,Jaipur,Postpaid,Roaming Pack,UPI,525
JIOREC000118,USER52962,2023-01-17,Bangalore,Prepaid,Data Add-on,UPI,19
JIOREC000119,USER70845,2023-12-13,Ahmedabad,Postpaid,Roaming Pack,Retail Store,523
JIOREC000120,USER74529,2024-04-09,Kolkata,Postpaid,Annual,Debit Card,3293
JIOREC000121,USER66031,2022-03-19,Kolkata,Postpaid,Annual,Net Banking,2876
JIOREC000122,USER41726,2022-07-06,Pune,Prepaid,Annual,UPI,2536
JIOREC000123,USER85319,2023-05-01,Mumbai,Postpaid,Monthly,UPI,313
JIOREC000124,USER64499,2024-02-15,Lucknow,Prepaid,Data Add-on,UPI,132
JIOREC000125,USER20841,2024-01-09,Bangalore,Postpaid,Data Add-on,UPI,31
JIOREC000126,USER62655,2023-11-20,Ahmedabad,Prepaid,Roaming Pack,Debit Card,528
JIOREC000127,USER68766,2023-07-08,Ahmedabad,Prepaid,Quarterly,Credit Card,697
JIOREC000128,USER51747,2022-07-18,Lucknow,Postpaid,Roaming Pack,Debit Card,796
JIOREC000129,USER43473,2022-12-12,Lucknow,Prepaid,Quarterly,UPI,719
JIOREC000130,USER39621,2022-02-03,Bangalore,Prepaid,Data Add-on,Credit Card,18
JIOREC000131,USER81778,2024-01-26,Chennai,Postpaid,Monthly,Wallet,328
JIOREC000132,USER46436,2023-01-05,Bangalore,Prepaid,Monthly,UPI,251
JIOREC000133,USER76735,2022-07-03,Jaipur,Prepaid,Annual,Net Banking,2553
JIOREC000134,USER34310,2022-03-30,Ahmedabad,Postpaid,Monthly,UPI,298
JIOREC000135,USER74872,2023-10-01,Bangalore,Prepaid,Quarterly,Net Banking,891
JIOREC000136,USER41519,2023-09-16,Kolkata,Postpaid,Data Add-on,Debit Card,19
JIOREC000137,USER34706,2024-02-03,Mumbai,Postpaid,Quarterly,Credit Card,791
JIOREC000138,USER73820,2022-07-13,Ahmedabad,Prepaid,Annual,Credit Card,2990
JIOREC000139,USER76486,2022-07-03,Bangalore,Prepaid,Roaming Pack,Net Banking,497
JIOREC000140,USER89951,2023-02-17,Kolkata,Postpaid,Monthly,Net Banking,313
JIOREC000141,USER15698,2023-07-29,Ahmedabad,Postpaid,Quarterly,UPI,757
JIOREC000142,USER33478,2022-07-01,Lucknow,Postpaid,Data Add-on,UPI,60
JIOREC000143,USER16787,2024-05-05,Kolkata,Prepaid,Monthly,UPI,527
JIOREC000144,USER84361,2023-06-03,Hyderabad,Prepaid,Data Add-on,Credit Card,127
JIOREC000145,USER39385,2023-06-27,Lucknow,Postpaid,Data Add-on,Debit Card,30
JIOREC000146,USER51985,2022-12-10,Delhi,Postpaid,Data Add-on,Wallet,29
JIOREC000147,USER66838,2022-09-13,Chennai,Prepaid,Annual,Wallet,3013
JIOREC000148,USER54179,2023-02-11,Lucknow,Postpaid,Quarterly,UPI,756
JIOREC000149,USER98953,2022-02-21,Chennai,Prepaid,Roaming Pack,Net Banking,598
JIOREC000150,USER99707,2023-05-27,Kolkata,Postpaid,Roaming Pack,Net Banking,627
JIOREC000151,USER16284,2024-04-24,Kolkata,Postpaid,Quarterly,UPI,931
JIOREC000152,USER50063,2022-07-09,Hyderabad,Postpaid,Roaming Pack,Credit Card,796
JIOREC000153,USER46734,2024-02-18,Bangalore,Prepaid,Annual,Credit Card,2797
JIOREC000154,USER22938,2022-10-20,Kolkata,Prepaid,Data Add-on,UPI,28
JIOREC000155,USER33345,2022-03-30,Kolkata,Prepaid,Data Add-on,UPI,60
JIOREC000156,USER23970,2024-06-27,Lucknow,Prepaid,Quarterly,Debit Card,730
JIOREC000157,USER60234,2022-11-06,Kolkata,Prepaid,Annual,UPI,2904
JIOREC000158,USER22673,2022-04-01,Pune,Postpaid,Roaming Pack,UPI,499
JIOREC000159,USER28053,2022-09-09,Ahmedabad,Prepaid,Monthly,Debit Card,237
JIOREC000160,USER51122,2022-08-22,Pune,Prepaid,Quarterly,UPI,717
JIOREC000161,USER65662,2022-07-10,Ahmedabad,Prepaid,Monthly,UPI,398
JIOREC000162,USER40386,2023-03-10,Mumbai,Postpaid,Roaming Pack,UPI,840
JIOREC000163,USER74304,2022-07-18,Hyderabad,Prepaid,Monthly,Net Banking,238
JIOREC000164,USER11538,2024-05-06,Lucknow,Postpaid,Data Add-on,UPI,67
JIOREC000165,USER97152,2023-06-16,Lucknow,Postpaid,Roaming Pack,UPI,524
JIOREC000166,USER38509,2022-08-12,Ahmedabad,Postpaid,Data Add-on,Credit Card,121
JIOREC000167,USER28343,2023-03-05,Pune,Prepaid,Roaming Pack,Debit Card,629
JIOREC000168,USER24030,2024-02-23,Jaipur,Postpaid,Roaming Pack,Debit Card,658
JIOREC000169,USER30041,2024-06-26,Mumbai,Prepaid,Monthly,Wallet,525
JIOREC000170,USER43888,2022-06-30,Pune,Postpaid,Quarterly,Debit Card,849
JIOREC000171,USER82579,2024-04-11,Bangalore,Prepaid,Monthly,UPI,262
JIOREC000172,USER16734,2022-05-29,Bangalore,Postpaid,Annual,Net Banking,2988
JIOREC000173,USER79774,2022-06-07,Chennai,Postpaid,Data Add-on,Net Banking,60
JIOREC000174,USER43627,2022-01-10,Lucknow,Postpaid,Roaming Pack,UPI,598
JIOREC000175,USER90388,2023-04-24,Bangalore,Postpaid,Quarterly,Wallet,893
JIOREC000176,USER12583,2022-04-11,Mumbai,Postpaid,Data Add-on,UPI,29
JIOREC000177,USER79314,2023-11-20,Jaipur,Prepaid,Annual,Debit Card,2674
JIOREC000178,USER33823,2024-06-18,Lucknow,Prepaid,Data Add-on,Wallet,133
JIOREC000179,USER75158,2023-12-12,Chennai,Postpaid,Roaming Pack,Credit Card,523
JIOREC000180,USER69781,2022-05-19,Bangalore,Prepaid,Quarterly,Retail Store,716
JIOREC000181,USER78594,2024-01-24,Chennai,Postpaid,Quarterly,Wallet,790
JIOREC000182,USER66950,2023-11-02,Ahmedabad,Postpaid,Monthly,Debit Card,251
JIOREC000183,USER62280,2022-02-03,Lucknow,Prepaid,Monthly,UPI,479
JIOREC000184,USER37203,2023-05-09,Chennai,Prepaid,Roaming Pack,Wallet,521
JIOREC000185,USER43919,2023-05-07,Kolkata,Prepaid,Monthly,Wallet,313
JIOREC000186,USER46497,2023-08-09,Ahmedabad,Postpaid,Quarterly,UPI,703
JIOREC000187,USER43911,2023-01-13,Ahmedabad,Prepaid,Data Add-on,UPI,19
JIOREC000188,USER20736,2023-12-07,Chennai,Postpaid,Quarterly,UPI,699
JIOREC000189,USER28770,2022-07-30,Ahmedabad,Prepaid,Annual,Net Banking,3003
JIOREC000190,USER99835,2023-07-08,Delhi,Postpaid,Quarterly,Net Banking,696
JIOREC000191,USER76349,2024-02-14,Kolkata,Prepaid,Annual,Net Banking,3163
JIOREC000192,USER53608,2024-06-01,Lucknow,Postpaid,Quarterly,Credit Card,735
JIOREC000193,USER63311,2023-08-08,Pune,Prepaid,Roaming Pack,Net Banking,625
JIOREC000194,USER23711,2023-03-11,Bangalore,Prepaid,Monthly,UPI,250
JIOREC000195,USER20019,2024-04-02,Chennai,Prepaid,Quarterly,Credit Card,788
JIOREC000196,USER83192,2023-05-09,Mumbai,Prepaid,Quarterly,UPI,755
JIOREC000197,USER27157,2023-12-20,Bangalore,Postpaid,Quarterly,Debit Card,699
JIOREC000198,USER30809,2023-03-06,Lucknow,Prepaid,Monthly,UPI,251
JIOREC000199,USER76043,2023-03-13,Lucknow,Prepaid,Annual,Wallet,2670
JIOREC000200,USER34682,2022-02-15,Kolkata,Prepaid,Quarterly,Net Banking,666
JIOREC000201,USER50338,2023-03-24,Pune,Prepaid,Annual,Retail Store,3153
JIOREC000202,USER88814,2022-09-15,Bangalore,Prepaid,Quarterly,UPI,842
JIOREC000203,USER71035,2022-08-24,Kolkata,Postpaid,Data Add-on,Net Banking,19
JIOREC000204,USER16845,2022-12-16,Jaipur,Postpaid,Monthly,Credit Card,199
JIOREC000205,USER37356,2022-09-23,Pune,Prepaid,Roaming Pack,Retail Store,499
JIOREC000206,USER59625,2023-08-19,Pune,Prepaid,Annual,Credit Card,3029
JIOREC000207,USER42763,2023-05-09,Bangalore,Postpaid,Data Add-on,UPI,30
JIOREC000208,USER15828,2024-05-22,Chennai,Prepaid,Monthly,Debit Card,328
JIOREC000209,USER73192,2023-03-28,Bangalore,Prepaid,Monthly,Credit Card,502
JIOREC000210,USER84751,2022-02-11,Kolkata,Postpaid,Annual,Credit Card,2875
JIOREC000211,USER21526,2024-02-06,Kolkata,Prepaid,Data Add-on,Credit Card,133
JIOREC000212,USER89349,2023-02-01,Bangalore,Postpaid,Monthly,Credit Card,418
JIOREC000213,USER98583,2022-09-29,Chennai,Prepaid,Monthly,Credit Card,237
JIOREC000214,USER49972,2023-10-25,Hyderabad,Postpaid,Quarterly,Wallet,704
JIOREC000215,USER45711,2024-03-25,Jaipur,Prepaid,Roaming Pack,UPI,548
JIOREC000216,USER27470,2023-03-03,Delhi,Prepaid,Quarterly,Retail Store,893
JIOREC000217,USER90017,2024-02-10,Bangalore,Prepaid,Data Add-on,Credit Card,67
JIOREC000218,USER75587,2023-07-02,Kolkata,Prepaid,Roaming Pack,Credit Card,524
JIOREC000219,USER87110,2022-11-11,Jaipur,Postpaid,Data Add-on,UPI,60
JIOREC000220,USER46912,2022-08-08,Pune,Postpaid,Annual,Credit Card,3008
JIOREC000221,USER37736,2022-05-21,Pune,Prepaid,Data Add-on,UPI,29
JIOREC000222,USER61859,2022-04-02,Delhi,Prepaid,Roaming Pack,UPI,600
JIOREC000223,USER76097,2024-05-27,Bangalore,Prepaid,Quarterly,Credit Card,788
JIOREC000224,USER58031,2023-11-22,Hyderabad,Prepaid,Data Add-on,Wallet,19
JIOREC000225,USER75080,2022-07-23,Mumbai,Prepaid,Annual,Debit Card,2988
JIOREC000226,USER11662,2022-05-22,Lucknow,Postpaid,Annual,UPI,2536
JIOREC000227,USER36156,2023-01-31,Kolkata,Postpaid,Data Add-on,Wallet,127
JIOREC000228,USER14523,2022-06-19,Bangalore,Prepaid,Annual,UPI,3007
JIOREC000229,USER79765,2024-06-16,Pune,Prepaid,Monthly,Retail Store,219
JIOREC000230,USER93064,2022-07-08,Bangalore,Prepaid,Monthly,Credit Card,300
JIOREC000231,USER13048,2023-06-03,Bangalore,Prepaid,Annual,Debit Card,3141
JIOREC000232,USER64315,2024-05-18,Bangalore,Postpaid,Data Add-on,Credit Card,32
JIOREC000233,USER30953,2023-06-28,Hyderabad,Prepaid,Quarterly,UPI,699
JIOREC000234,USER26606,2023-03-04,Pune,Prepaid,Monthly,Debit Card,502
JIOREC000235,USER49673,2024-04-29,Bangalore,Postpaid,Roaming Pack,UPI,880
JIOREC000236,USER96111,2023-09-18,Hyderabad,Prepaid,Annual,Retail Store,2675
JIOREC000237,USER82545,2023-11-06,Chennai,Prepaid,Roaming Pack,UPI,628
JIOREC000238,USER34535,2022-08-20,Kolkata,Prepaid,Monthly,UPI,396
JIOREC000239,USER84433,2023-10-11,Mumbai,Postpaid,Monthly,Wallet,210
JIOREC000240,USER54746,2023-11-06,Chennai,Postpaid,Monthly,Retail Store,312
JIOREC000241,USER35666,2022-07-09,Pune,Prepaid,Data Add-on,UPI,19
JIOREC000242,USER26934,2024-03-25,Jaipur,Postpaid,Annual,Net Banking,3166
JIOREC000243,USER70499,2024-03-25,Ahmedabad,Prepaid,Monthly,UPI,439
JIOREC000244,USER76536,2024-04-15,Lucknow,Postpaid,Annual,UPI,3165
JIOREC000245,USER78141,2023-10-27,Lucknow,Prepaid,Data Add-on,Debit Card,127
JIOREC000246,USER16085,2022-12-26,Kolkata,Prepaid,Data Add-on,Retail Store,29
JIOREC000247,USER22047,2023-05-26,Hyderabad,Prepaid,Data Add-on,Credit Card,19
JIOREC000248,USER42580,2022-07-18,Pune,Prepaid,Monthly,UPI,399
JIOREC000249,USER15320,2023-06-07,Jaipur,Postpaid,Roaming Pack,UPI,837
JIOREC000250,USER55294,2023-10-11,Lucknow,Postpaid,Roaming Pack,Debit Card,524
JIOREC000251,USER34202,2024-02-12,Delhi,Prepaid,Monthly,UPI,328
JIOREC000252,USER60125,2023-08-24,Mumbai,Prepaid,Roaming Pack,Debit Card,841
JIOREC000253,USER57654,2024-01-10,Hyderabad,Postpaid,Annual,UPI,3167
JIOREC000254,USER75160,2024-03-07,Lucknow,Prepaid,Roaming Pack,Wallet,879
JIOREC000255,USER50561,2022-10-17,Mumbai,Postpaid,Annual,Retail Store,3023
JIOREC000256,USER90868,2023-02-02,Jaipur,Postpaid,Roaming Pack,UPI,839
JIOREC000257,USER44041,2022-10-18,Ahmedabad,Postpaid,Roaming Pack,Wallet,801
JIOREC000258,USER60456,2022-06-12,Chennai,Postpaid,Data Add-on,UPI,120
JIOREC000259,USER48424,2023-05-23,Delhi,Postpaid,Annual,UPI,3150
JIOREC000260,USER21161,2023-08-15,Delhi,Prepaid,Quarterly,Net Banking,758
JIOREC000261,USER51411,2023-02-22,Delhi,Prepaid,Roaming Pack,Retail Store,838
JIOREC000262,USER54514,2022-04-14,Lucknow,Prepaid,Data Add-on,Wallet,28
JIOREC000263,USER16572,2022-07-27,Delhi,Postpaid,Monthly,UPI,396
JIOREC000264,USER83466,2022-03-06,Ahmedabad,Prepaid,Quarterly,UPI,664
JIOREC000265,USER35059,2022-08-05,Bangalore,Prepaid,Data Add-on,UPI,120
JIOREC000266,USER80721,2022-06-23,Chennai,Prepaid,Annual,UPI,2539
JIOREC000267,USER70579,2024-04-05,Ahmedabad,Postpaid,Quarterly,UPI,789
JIOREC000268,USER91567,2023-06-08,Bangalore,Postpaid,Annual,Retail Store,3158
JIOREC000269,USER32744,2024-01-09,Jaipur,Prepaid,Annual,UPI,2797
JIOREC000270,USER80634,2023-07-08,Chennai,Prepaid,Roaming Pack,Debit Card,524
JIOREC000271,USER83051,2022-08-14,Lucknow,Prepaid,Roaming Pack,UPI,497
JIOREC000272,USER71436,2023-03-24,Delhi,Prepaid,Roaming Pack,Credit Card,840
JIOREC000273,USER97011,2024-01-22,Hyderabad,Postpaid,Annual,UPI,3168
JIOREC000274,USER75059,2022-04-01,Kolkata,Postpaid,Annual,Credit Card,2880
JIOREC000275,USER84074,2022-05-03,Pune,Postpaid,Annual,UPI,2871
JIOREC000276,USER89902,2022-01-05,Mumbai,Postpaid,Roaming Pack,UPI,599
JIOREC000277,USER47882,2023-03-13,Pune,Prepaid,Monthly,Debit Card,208
JIOREC000278,USER46567,2024-05-09,Ahmedabad,Postpaid,Roaming Pack,Net Banking,659
JIOREC000279,USER51361,2022-08-03,Chennai,Prepaid,Quarterly,Credit Card,670
JIOREC000280,USER72963,2023-01-16,Jaipur,Postpaid,Quarterly,UPI,755
JIOREC000281,USER87025,2024-05-24,Hyderabad,Prepaid,Monthly,Credit Card,440
JIOREC000282,USER10921,2022-01-25,Chennai,Postpaid,Quarterly,Net Banking,849
JIOREC000283,USER98458,2023-11-04,Ahmedabad,Prepaid,Monthly,Credit Card,251
JIOREC000284,USER12650,2022-08-03,Delhi,Postpaid,Data Add-on,UPI,28
JIOREC000285,USER28015,2023-04-30,Lucknow,Postpaid,Monthly,Wallet,251
JIOREC000286,USER50638,2022-03-22,Hyderabad,Postpaid,Annual,Debit Card,2994
JIOREC000287,USER99565,2022-08-12,Pune,Postpaid,Annual,Credit Card,2560
JIOREC000288,USER81645,2023-11-15,Delhi,Prepaid,Roaming Pack,UPI,627
JIOREC000289,USER92873,2022-06-18,Lucknow,Postpaid,Roaming Pack,Credit Card,596
JIOREC000290,USER82262,2022-02-10,Bangalore,Postpaid,Roaming Pack,Wallet,599
JIOREC000291,USER90173,2023-11-28,Hyderabad,Postpaid,Roaming Pack,Net Banking,630
JIOREC000292,USER76436,2023-03-01,Lucknow,Prepaid,Roaming Pack,UPI,627
JIOREC000293,USER89094,2022-04-25,Delhi,Postpaid,Data Add-on,Wallet,29
JIOREC000294,USER39294,2023-02-13,Mumbai,Prepaid,Monthly,Net Banking,502
JIOREC000295,USER58387,2024-05-25,Pune,Postpaid,Annual,Retail Store,3301
JIOREC000296,USER69385,2023-03-22,Mumbai,Prepaid,Monthly,Net Banking,209
JIOREC000297,USER15326,2022-04-17,Lucknow,Prepaid,Roaming Pack,UPI,497
JIOREC000298,USER28797,2022-11-05,Lucknow,Postpaid,Monthly,Wallet,200
JIOREC000299,USER88473,2023-07-12,Jaipur,Postpaid,Data Add-on,UPI,30
JIOREC000300,USER38226,2022-08-12,Pune,Prepaid,Roaming Pack,Debit Card,798
JIOREC000301,USER12661,2023-04-23,Ahmedabad,Prepaid,Monthly,Credit Card,418
JIOREC000302,USER25361,2023-08-17,Hyderabad,Postpaid,Data Add-on,UPI,64
JIOREC000303,USER30861,2024-06-11,Kolkata,Postpaid,Data Add-on,Debit Card,31
JIOREC000304,USER69602,2022-12-09,Hyderabad,Postpaid,Data Add-on,Retail Store,61
JIOREC000305,USER10404,2022-06-03,Chennai,Postpaid,Quarterly,Net Banking,664
JIOREC000306,USER20583,2024-02-14,Ahmedabad,Postpaid,Monthly,Credit Card,328
